unique_Investor
"""Kedaraa Capital"
Hinduja Leyland Finance and IntelleGrow
Hinduja family
Hines
Hiro Mashita
Hirokazu
Hitesh Gupta
Hitesh Oberoi
Hitesh Windlass
Hitouch AG
Holostik Group
Holtzbrink Ventures
Horizons Ventures
Hornbill Orchid India Fund
Horseferry
Hrishi Oberoi
Hrishikesh Parandekar
Huang Wei
Hunch Ventures
Huzaifa Khorakiwala
Hyderabad Angels
Hyderabad based investor
Hyundai
I-cube-N
IA Venture Strategies Fund II LP
IAN Fund
IAN Fund and DSG Consumer Partners
IAN Ventures
ID Enablers Pvt Ltd
IDFC Parampara Early Stage Opportunities Fund
IDFC SPICE Fund
IDFC-Parampara Capital
IDFC-Parampara Fund
IDG Ventures
IFC
IFC Everstone Group
IFMR
IFMR Capital Finance
IFMR Capital
IIFL
IIFL Seed Ventures
IIFL Seed Ventures Fund
IIFL Wealth
IIFL Wealth Management Seed Venture Fund
IIFL and Accels
IIT Ropar
IL&FS
IL&FS Investment Managers
IL&FS Private Equity
ILearnFinance Academy Pvt. Ltd.
IMJ Investment Partners
IMM Investment
ITW Digital
Ibibo Group
Idea Wave Labs
IdeaSpring Capital
Ideaspring Capital
Ideation Initiative Pvt. Ltd
Idein Ventures
Ignition Partners
Imanpreet Singh Arora
Impact Investment Holding
Impanix Capital
InCred
InCred Finance
InMobi
Inara Capital
Inc
Inc95 Consulting
Incofin Investment Management.
Incubate Fund
Incubate Fund India
Incubation Foundation (SIIF)
India Alternatives
India Educational Investment Fund
India Innovation Fund India Venture Partners
India Internet Fund
India Nivesh Growth Fund
India Quotient
India Quotient and LetsVentures Angel Fund
India Quotient.
India Value Fund Advisors
India Ventures
IndiaMart
IndiaNivesh Venture Capital Fund
Indian Angel Network
Indian Angel Network (IAN)
Indian Angel network
Indian Angels Network
Indian Quotient
Indian fintech fund
IndianIdeas.com
Indochine International
Indus Age Partners
IndusAge Partners
Infibeam
Infina Finance Pvt. Ltd
Inflexionpoint
Info Edge
Info Edge (India) Ltd and Temasek
InfoEdge
Infocomm Development Authority of Singapore
Infocomm Investments
Infosys Innovation Fund
Infosys co-founder Kris Gopalakrishnan
Infosys
Infuse Ventures
Infuse Ventures fund
Ingram Content Group
Initia Holdings
InnoVen Capital India
InnoVen Capital
Innogy
Innov8
Innovations East
Innoven Capital
Insight Partners
Insight Venture Partners
Insignia Ventures Partners
Insistor
Insitor Impact Asia Fund
Instalabs
Institutional Venture Partners
InsuResillience Investment Fund
Intel Capital
Intel Capital & Kae Capital
IntelleGrow
Intellecap Impact Investment Network
Intelli Reboot Digital Pvt. Ltd
InterGlobe Technology Quotient
InterWest Partners
International Finance Corp
International Finance Corporation
International Finance Corporation (IFC)
International Financial Corporation
Internet Group
Intex Technologies
Inventus Capital
Inventus Capital Partners
Investment AB Kinnevik
Investopad
Investors from Mumbai Angels   LetsVenture
Iron Pillar
Iron Pillar and IIFL
Ishan Manaktala
Ishwar Singh
Ivy League Alumni Angel Network
IvyCamp Ventures
IvyCap Ventures
IvyCap Ventures and Unicorn India Ventures
Ivycap Ventures Advisors
J.P. Bhatt
JAFCO Asia
JLL
JM Financial Products Ltd
JM Financials and MEMG
JMR Infotech India Pvt Ltd
JS Capital
JS Capital Management
JSW Ventures
Jaarvis Accelerator
Jacqueline Fernandez
Jagdish & Sandeep Mehta Family Office
Jagdish Kumar
Jai Choi
Jaideep Mehta
Jaikumar Nair
Jairaj Singh
Jamil Khatri
Jan Manten
Janak Jain
Janak Parikh
Japan & Teruhide Sato (in Addition to MKS Switzerland & Kris GopalKrishnan)
Japan Vyas
Jarett Posner
Jason Hirschhorn
Jaspal Bindra
Jasper Infotech Pvt Ltd
Jaspreet Bindra
Jatin Aneja
Javelin StartupO Victory Fund
Jay Sethuram
Jay Srinivasan
Jay Vijayan
Jayabalan Subramanian
Jayant Bokadia
Jayant Davar
Jayant Humbarwadi
Jayant Kadambi
Jaydeep Barman
Jayesh Parekh
Jayesh Shah
Jaysukh Sapra
Jeevanandhan Rajagopal
Jeroen Mensen
Jessica Wong
Jim Schimdktke
Jitendra Gupta
Jitu Virwani
Joby Babu
John Katzman
Jonathan Boutelle
Jones Lang LaSalle
Jozef Bardik
Jr. Millennium Trust
Jungle Venture Partners
Jungle Ventures
Jungle Ventures & Bessemer Venture Partners
Jupiter Capital
Justin Kan
Jyoti Bansal
K Ganesh
K2 Capital
KAE capital
KARSEMVEN Fund
KCK Global
KCL
KDDI
KJS Group
KK Mehra
KStart Capital
KTB Network
KWAN Entertainment & Marketing Solutions
Kae Capital
Kae Capital Management
Kaizen Management Advisors
Kaizen Private Equity
Kalaari Capital
Kaleden Holdings
Kalpana Tatavarti
Kalpavriksh
Kalpvriksh
Kalyan Krishnamurthy
Kamal Bansal
Kamal Chabra
Kamal Kothari
Kamal Puri
Kanchan Ghoshal
Kanodia family
Kanpur Angels
Kantilal Patel
Kanwaljit Singh
Kapil Dev
Kapil Goel
Kapil Hetamsaria
