Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
27-10-2015,Roadrunnr,,Hyperlocal Logistics Service,Bengaluru,"Sequoia Capital, Nexus Venture Partners",Private Equity,"1,00,00,000",Series B
27-10-2015,Simpli5d,,Online user engagement platform,Gurugram,"Redcliffe Capital, YourNest Angel Fund",Private Equity,,Bridge Funding
28-10-2015,Origa leasing,,Asset Financing platform,Mumbai,"ah! Ventures, 500 Startups & Other HNIs",Seed Funding,"11,00,000",
28-10-2015,Smartivity.in,,Virtual Reality activity based learning platform,Delhi,S Chand and Co Pvt Ltd,Seed Funding,"2,00,000",
28-10-2015,Urdoorstep,,Online Grocery Store,Bengaluru,Jupiter Capital,Private Equity,,Series A
29-10-2015,Tavaga,,Investment management platform,Mumbai,Tracxn Syndicate,Seed Funding,,
29-10-2015,Moglix,,Industrial Toons Marketplace,Noida,"Accel, Jungle Ventures",Private Equity,,pre-Series A
29-10-2015,Zophop,,Public Commute helper App,Mumbai,"Amit Singhal, PK Gulati ",Seed Funding,"4,50,000",
30-10-2015,Niki.ai,,Artificial Intelligence Ecommerce Chatbot,Bengaluru,Unilazer Ventures,Seed Funding,,
30-10-2015,Instavans,,Truck Aggregator & Logistics service,Bengaluru,Suresh Vaswani,Seed Funding,,
30-10-2015,Lifto,,Ridesharing Mobile app,Mumbai,"Rajesh Bhatia, Dheeraj Mehta ",Seed Funding,"1,30,000",
30-10-2015,Tinyowl,,Food Discovery & Delivery Mobile app,Mumbai,"Sequoia Capital, Matrix Partners",Private Equity,"75,00,000",Series B
30-10-2015,Toppr,,Competitive exam learning platform,Mumbai,InnoVen Capital,Private Equity,"20,00,000",Series C
30-10-2015,Kleeto,,Document Digitization platform,Gurugram,GREX,Seed Funding,"2,30,000",pre-Series A
30-10-2015,Beaconstalk,,proximity marketing & Mobile Advertising platform,Mumbai,Puneet Bhatia ,Seed Funding,"80,000",
31-10-2015,Jugnoo,,Autorickshaw Aggregator & Booking platform,Chandigarh,Paytm,Private Equity,"1,00,00,000",Series B
01-09-2015,Toflo,,FinTech Startup Incubation platform,Mumbai,Tania Johny Palathinkal,Seed Funding,"1,00,000",
01-09-2015,Fxmartindia,,Payment Services platform,Chandigarh,Flipkart,Private Equity,,Strategic Investment (Majority Stake)
01-09-2015,Stylecracker,,Personalized Styling platform,Mumbai,Group of HNI investors,Private Equity,"10,00,000",Series A
01-09-2015,Luxuryhues,,Luxury goods Shopping Platform,Gurugram,Reliance Capital,Private Equity,"9,00,000",Series A
02-09-2015,Holachef,,Food Delivery Platform,Mumbai,Ratan Tata,Private Equity,,Part of Series A raised in June 2015
02-09-2015,Zivame,,Online Lingerie Marketplace,Bengaluru,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,"4,00,00,000",Series C
02-09-2015,Capillary tech,,Cloud software solutions,Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,"4,50,00,000",Series D
03-09-2015,Jobspire,,Job Search Platform,Bengaluru,Purvi Capital,Seed Funding,"2,60,000",
03-09-2015,Meradoctor,,Doctor consultancy Mobile App,Mumbai,India Quotient & other investors,Seed Funding,,
03-09-2015,Vistaar finance,,Small Business Financing (NBFC),Bengaluru,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital, Lok Capital",Private Equity,"4,00,00,000",
03-09-2015,Hijinny,,Beauty & Wellness Services Marketplace,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed Funding,,
04-09-2015,Clapsnslaps,,Online Movie Review Platform,Mumbai,R M Picture Company Pvt. Ltd.,Seed Funding,"1,50,000",
04-09-2015,Blubox,,ECommerce Brands Full Service Agency,Mumbai,Ashish Jhalani,Seed Funding,"1,00,000",
04-09-2015,Roomcentral,,Cloud-based Hotel Booking Platform,Bengaluru,Karanpal Singh,Seed Funding,"20,00,000",
07-09-2015,Youthkiawaaz,,Community Driven News/Views Platform,Delhi,"Raghav Bahl, Ritu Kapur",Seed Funding,"6,00,000",
07-09-2015,Prozo,,Study Material Marketplace,Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu ",Seed Funding,"2,05,000",
07-09-2015,Zomato,,Restaurant Ratings & Reviews platform,Gurugram,"Temasek, Vy Capital",Private Equity,"6,00,00,000",Late Stage
07-09-2015,Sahayog dairy,,Dairy Based Product Manufacturer,Bhopal,Acumen Fund,Private Equity,"18,00,000",Series A
08-09-2015,Mockbank,,Government Test Preparation platform,Bengaluru,Blume Ventures,Seed Funding,"4,00,000",
