Date,Startup,Industry_Vertical,SubVertical,Location,Investor,Investment_Type,Amount(USD),Remarks
20-10-2016,Railyatri,Consumer Internet,Train Travel Info mobile app,Noida,"Helion Ventures, Blume ventures",Private Equity,,
21-10-2016,Chatongo,Consumer Internet,Hyperlocal Communication Mobile app,Mumbai,Janak Jain,Seed Funding,"3,00,000",
23-10-2016,Wotu,eCommerce,B2B Marketplace for traders,Bengaluru,KAE capital,Seed Funding,,
24-10-2016,Healthians,Consumer Internet,Health Test Discovery & Ordering service,Gurugram,BEENEXT,Private Equity,"30,00,000",
24-10-2016,Box8,Consumer Internet,Online Food Ordering platform/App,Mumbai,"IIFL Seed Ventures Fund, Mayfield Ventures",Private Equity,"75,00,000",
25-10-2016,Kredx,eCommerce,Invoice discounting marketplace,Bengaluru,Sequoia Capital,Private Equity,"60,00,000",
25-10-2016,Creditmate,Consumer Internet,Credit Report Info platform,Mumbai,India Quotient,Seed Funding,"5,00,000",
25-10-2016,Pickrr,Technology,Courier Logistics & Order management Solutions,Delhi,Swastika Company Ltd,Seed Funding,,
25-10-2016,Satvakart,eCommerce,Online Grocery Etailer,Gurugram,Nimit Panigrahi,Seed Funding,,
25-10-2016,Soopermo,Technology,Android utility app suite creator,Gurugram,Lalit Vase,Seed Funding,"1,00,000",
26-10-2016,Orangetwig,Consumer Internet,Social Media Marketing platform,Delhi,Undisclosed investor,Seed Funding,"10,00,000",
26-10-2016,Wooplr,Consumer Internet,Fashion Discovery App,Bengaluru,"Astarc Ventures, Anand Chandrasekaran",Seed Funding,,
26-10-2016,The kettlery,eCommerce,Online Tea Etailer,Ahmedabad,"hooting Starts Sports LLP, Franchise India Brands",Private Equity,"10,00,000",
27-10-2016,Idea bubbles,Consumer Internet,Doctor Consulting platform,Bengaluru,"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",Private Equity,"7,00,000",
27-10-2016,Fr8,Technology,Truck Fleet Operation platform,Chennai,Omnivore Partners,Private Equity,"9,71,000",
27-10-2016,Ather energy,Technology,Electric Vehicle Manufacturer,Bengaluru,Hero MotoCorp,Private Equity,"2,70,00,000",
28-10-2016,Pikkol,Logistics,Relocation Service provider,Bengaluru,"Ajay Nanavati, Afsal Salu",Seed Funding,,
29-10-2016,Velmenni,Technology,LiFi based wireless communication provider,Delhi,Kalaari Capital,Seed Funding,"1,00,000",
29-10-2016,Volta motors,Technology,Electric Bike Manufacturer,Chennai,Kalaari Capital,Seed Funding,"1,00,000",
29-10-2016,Cyclops,Technology,Clinical and Wearable Diagnostic Product creator,Bengaluru,Kalaari Capital,Seed Funding,"1,00,000",
30-10-2016,Impact analytics,Technology,Business intelligence and data science Startup,Bengaluru,"Aarin Capital, Michael Herzig, Ashish Lakhanpal",Private Equity,"7,50,000",
31-10-2016,Talent next,Consumer Internet,Talent Discovery & Audition management platform,Mumbai,Karanpal Singh ,Seed Funding,"10,00,000",
01-09-2016,Mad street den,Technology,Artificial Intelligence platform,Chennai,"Sequoia India, Exfinity Ventures, growX ventures,",Private Equity,,
01-09-2016,Mihup,Technology,Personal Digital Assistant,Kolkata,Accels,Private Equity,"67,00,000",
01-09-2016,Renowala,eCommerce,Home Improvement Marketplace,Hyderabad,Pradeep Dhobale,Seed Funding,,
01-09-2016,Lucideus,Technology,IT Risk Assessment and Digital Security Services provider.,Delhi,Amit Choudhary,Seed Funding,,
04-09-2016,Trackbizz,Technology,Field Force Automation System,Kochi,Grasshoppers,Private Equity,,
05-09-2016,Social quotient,Technology,Platform for Social Causes,Mumbai,"Anita Dongre, Yash Dongre, Milind Sarwate",Seed Funding,,
05-09-2016,Stalk buy love,eCommerce,Fashion Apparel eTailer,Delhi,William Bissel,Seed Funding,,
06-09-2016,Eshakti,eCommerce,Womens Fashion Apparel eTailer,Chennai,"Infina Finance Pvt. Ltd, Uday Kotak",Private Equity,"13,50,000",
06-09-2016,Cheersoye!,Consumer Internet,Online Gift Vouchers platform,Mumbai,Undisclosed Investors,Seed Funding,"5,00,000",
06-09-2016,Lenskart,eCommerce,Online Eyewear eTailer,Delhi,PremjiInvest,Private Equity,,
06-09-2016,Bigstylist,Consumer Internet,Hyperlocal doorstep Beauty Services provider,Mumbai,Info Edge (India) Ltd,Private Equity,"9,00,000",
07-09-2016,Zilingo,eCommerce,Online Fashion Retailer,Bangalore/ Bangkok,"Venturra Capital, Sequoia India, Susquehanna International Group. Wavemaker Partners, Beenext, Beenos, Digital Garage",Private Equity,"80,00,000",
07-09-2016,Alternacare,Consumer Internet,Online Doctor Consulting platform,Delhi,Eros Labs,Seed Funding,"5,00,000",
07-09-2016,Simplilearn,Education,Online Certification programs,Bengaluru,InnoVen Capital India,Private Equity,"60,00,000",
07-09-2016,Prozo,eCommerce,Study Material Marketplace,Gurugram,"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",Seed Funding,"3,15,000",
08-09-2016,Toprankers,Education,Online Test Preparation platform,Bengaluru,"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",Seed Funding,"6,70,000",
08-09-2016,Buildtraders,eCommerce,Online Construction Materials Marketplace,Bengaluru,Idein Ventures,Seed Funding,"2,00,000",
09-09-2016,Byju’s,Education,Online Learning App,Bengaluru,"Chan Zuckerberg Initiative, Times Internet Ltd, Sequoia Capital, Sofina, Lightspeed Ventures",Private Equity,"5,00,00,000",
09-09-2016,Nobroker,Consumer Internet,Online Home Rental platform,Bengaluru,Anand Chandrasekaran,Seed Funding,,
10-09-2016,Freshboxx,eCommerce,Fruits & vegetable eTailer,Hubli,Ravi Linganuri,Seed Funding,,
10-09-2016,Cureinstant,Consumer Internet,Social Health Networking Platform,Delhi,Dr. Rameshwar Kumar,Seed Funding,"1,50,000",
10-09-2016,Poshtic,Consumer Internet,Online health & Wellness platform,Noida,"havya Sharma, Amit Nagar",Seed Funding,"4,50,000",
10-09-2016,Karmacircles,Consumer Internet,Peer-to-peer Social Learning platform,Delhi,"Harinder Takhar, Zain Raj, Dr. Prasad Kaipa, Abaran Deep, Aseem Sood, Mustafa Patni",Seed Funding,,
12-09-2016,Purple style labs,Consumer Internet,Personal Styling Online platform,Mumbai,"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",Seed Funding,"4,48,000",
12-09-2016,Inuxu,Technology,Online Advertising Solutions,Pune,Fork Media,Private Equity,"30,00,000",
12-09-2016,Nykaa,eCommerce,Online Beauty products eTailer,Mumbai,"Sunil Munjal, Mariwala family",Private Equity,"1,23,00,000",
12-09-2016,Glam studios,Consumer Internet,Beauty Salon Aggregator,Noida,"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",Seed Funding,"3,00,000",
13-09-2016,Findow,Consumer Internet,Fashion Discovery Mobile app,Bengaluru,Raj Singh Bhandal,Seed Funding,,
13-09-2016,Ideachakki,Consumer Internet,Restaurant Menu & Food mobile app,Delhi,Ratan Tata,Seed Funding,,
13-09-2016,Shoekonnect,eCommerce,Footwear & Leather B2B App,Agra,Indian Angels Network,Seed Funding,,
13-09-2016,Nearbuy,Consumer Internet,Online Deals & Discount platform,Gurugram,BlackSoil Capital Pvt. Ltd.,Private Equity,"25,00,000",
14-09-2016,Zeroinfy,Consumer Internet,Online Video Lectures platform,Kolkata,Calcutta Angels Network,Seed Funding,,
14-09-2016,Flocareer,Consumer Internet,Jobs & Skill Validation platform,Bengaluru,"Balasubramanian Krishnamurthy, Sidhartha Hazarika ",Seed Funding,"1,50,000",
14-09-2016,Lenspick,eCommerce,eyewear eTailer,Bengaluru,Scadea Solutions Inc,Private Equity,,
15-09-2016,Infeedo,Consumer Internet,Employee engagement platform,Gurugram,"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah, Vivek Bhargava, Rahul Singh, Ambarish Gupta,",Seed Funding,"2,00,000",
15-09-2016,Furlenco,eCommerce,Online furniture rental startup,Bengaluru,Lightbox Ventures ,Private Equity,"50,00,000",
15-09-2016,Gopigeon,Consumer Internet,on-demand logistics service provider,Bengaluru,Nexus Venture Partners,Private Equity,"15,00,000",
16-09-2016,Newsdistill,Consumer Internet,City based News Aggregator App,Hyderabad,"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",Seed Funding,"1,00,000",
16-09-2016,Doctorinsta,Consumer Internet,Online Doctor Consultations,Gurugram,RoundGlass Partners,Private Equity,"10,00,000",
19-09-2016,Milofy,Consumer Internet,Couple Socialization App,Bengaluru,Accels,Seed Funding,"7,50,000",
19-09-2016,Liqvid,Technology,Integrated eLearning content solutions,Delhi,Gray Matters Capital,Private Equity,,
19-09-2016,Swiggy,Consumer Internet,Online Food Ordering & Delivery,Bengaluru,Bessemer Venture Partners,Private Equity,"1,50,00,000",
20-09-2016,Codemojo,Consumer Internet,Customer Engagement Platform,Bengaluru,CIO Angel Network,Seed Funding,,
20-09-2016,Justlikenew,eCommerce,Online gadget Repair Services Marketplace,Hyderabad,LetsVenture,Seed Funding,"5,00,000",
20-09-2016,Joehukum,Technology,Enterprise customer engagement solutions,Delhi,Sumit Jain,Seed Funding,,
21-09-2016,Co life,Consumer Internet,shared living and working spaces platform,Bengaluru,Undisclosed Investors,Seed Funding,"10,00,000",
21-09-2016,Purpledocs,Consumer Internet,Electronic Health care records platform,Vadodara,"KellyGamma, Lead Angels ",Seed Funding,,
21-09-2016,Pepperfry,eCommerce,Furniture eTailer,Mumbai,"Goldman Sachs Group, Zodius Technology Fund, Norwest Venture Partners, Bertelsmann India",Private Equity,"3,13,00,000",
21-09-2016,Equickies,eCommerce,Online Book etailer,Ahmedabad,Lothal Angel Ventures,Seed Funding,"2,98,000",
21-09-2016,Khel now,Consumer Internet,Mobile-based social networking platform,Delhi,Anglian Omega Network,Seed Funding,"3,50,000",
22-09-2016,Gadgetwood,Consumer Internet,On-Demand Gadget repair services platform,Delhi,Carpediem Capital,Private Equity,"60,00,000",
22-09-2016,Dailyrounds,Consumer Internet,Mobile App for Doctors,Bengaluru,"Accels, Beenext, Powerhouse Ventures, Akusa Holdings",Private Equity,,
22-09-2016,Flixy games,Technology,Mobile Game Publisher for Indian audience,Bengaluru,Rebright Partners,Seed Funding,"4,25,000",
22-09-2016,Hashtaag,Technology,Mobile App Development company,Bengaluru,Undisclosed investors,Seed Funding,"10,00,000",
22-09-2016,Pharmarack,Technology,SAAS application for Pharma Industry,Pune,"Currae Healthtech Fund, Unicorn India Ventures",Private Equity,"7,45,000",
23-09-2016,Cloudcherry,Technology,CRM SAAS Platform,Chennai,"Vertex Ventures, Cisco Ventures, IDG Ventures",Private Equity,"60,00,000",
23-09-2016,Parentlane,Consumer Internet,Social Platform for babycare and parenting,Bengaluru,Rohit MA,Seed Funding,,
23-09-2016,First moms club,Consumer Internet,Social Network for Mothers,Mumbai,Idea Wave Labs,Seed Funding,,
23-09-2016,Inmotion,Technology,Financial platform for daily wage earning communities,Noida,"Prashant Tandon, Gaurav Agarwal, Gaurav Bhogle, Shrishti Sahu, Shantanu Mathur, Prabhat Aggarwal",Seed Funding,,
26-09-2016,Lets barter,Consumer Internet,Goods & Services Barter Platform,Delhi,Scale Ventures Funds,Seed Funding,,
26-09-2016,Evengini,Consumer Internet,Event Registration and Ticketing platform,Chennai,Procam International Pvt. Ltd,Private Equity,,
27-09-2016,Tinystep,Consumer Internet,Parenting Network Platform,Bengaluru,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000",
27-09-2016,Canvs,Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,,
28-09-2016,Beardo,eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000",
28-09-2016,Instacar,Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000",
28-09-2016,Celes care,Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"10,00,000",
28-09-2016,Druva,Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000",
29-09-2016,Promon,eCommerce,Local Commerce Platform,Delhi,Now Capital,Seed Funding,"1,80,000",
29-09-2016,Fastudent,eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,,
29-09-2016,Unocoin,Consumer Internet,Bitcoin Wallet,Bengaluru,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000",
30-09-2016,Demyto,Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,,
30-09-2016,Zeta,Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000",
30-09-2016,Kalaage,Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,,
01-08-2016,Healthkart,eCommerce,Online Pharmacy & Health Marketplace,Gurugram,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000",
01-08-2016,Medinfi,Consumer Internet,Doctor & Clinic Discovery Platform,Bengaluru,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000",
01-08-2016,Repaireasy,Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"2,75,000",
01-08-2016,Voonik,eCommerce,Online Womens Fashion Marketplace,Bengaluru,InnoVen Capital,Private Equity,"30,00,000",
01-08-2016,Tokri,Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"25,00,000",
02-08-2016,Sheroes,Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000",
02-08-2016,Daily ninja,Consumer Internet,Hyperlocal daily needs Products delivery platform,Bengaluru,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,,
02-08-2016,Yumlane,Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000",
03-08-2016,Xcode,Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,,
03-08-2016,Extracarbon,Consumer Internet,Waste Recycle Management platform,Gurugram,Brand Capital,Seed Funding,"2,25,000",
03-08-2016,Flickbay,Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"8,90,000",
04-08-2016,Petoo,Consumer Internet,Food Delivery Platform,Bengaluru,Existing Investors,Seed Funding,"5,00,000",
05-08-2016,Tricog,Healthcare,Healthcare Analytics Platform,Bengaluru,"Inventus Capital Partners, Blume Ventures ",Private Equity,,
06-08-2016,Vst travels,Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000",
08-08-2016,Adpushup,Technology,Ad optimization Platform,Delhi,"Geniee, Inc, Purvi Capital",Private Equity,,
08-08-2016,Wefly indoor skydiving,Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000",
08-08-2016,Mojarto,eCommerce,"Original Art, Digital Prints etailer",Gurugram,Undisclosed Investors,Seed Funding,"4,45,000",
08-08-2016,Zipgrid,Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,"2,00,000",
09-08-2016,Mobident,Healthcare,Dental Protection Solution,Bengaluru,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,
09-08-2016,Zeolr/respiron,Technology,Healthcare related IoT platform,Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,,
10-08-2016,Vebbler,Consumer Internet,Photo Sharing Mobile App,Bengaluru,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"5,00,000",
10-08-2016,Bombay shaving company,eCommerce,Mens Grooming Product etailer,Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam ",Seed Funding,"6,00,000",
11-08-2016,Travelyaari,Consumer Internet,Online ticket booking platform,Bengaluru,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"70,00,000",
11-08-2016,91springboard,Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal ",Private Equity,,
11-08-2016,Genextstudents,Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,"2,09,000",
11-08-2016,Zenoti,Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"1,50,00,000",
12-08-2016,Crofarm,Technology,Agri-Tech supply chain Solution provider,Gurugram,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"15,00,000",
12-08-2016,Faircent.com,Consumer Internet,peer-to-peer lending platform,Gurugram,Brand Capital,Private Equity,"15,00,000",
12-08-2016,Innovaccer,Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"1,56,00,000",
12-08-2016,Cuberoot,Technology,Data Analytics & Audience Management Platform,Gurugram,Undisclosed Investors,Seed Funding,"5,00,000",
12-08-2016,Funcastic,Consumer Internet,B2C vernacular podcast aggregator platform,Delhi,"HT Media Ltd, North Base Media",Seed Funding,,
15-08-2016,Buttercups,ECommerce,Women Intimate Wear eTailer,Bengaluru,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,,
16-08-2016,Zappfresh,ECommerce,Raw Meat Products eTailer,Gurugram,Ashvin Chadha,Seed Funding,,
16-08-2016,Oyo rooms,Consumer Internet,Budget Hotels Aggregator,Delhi,SoftBank Group,Private Equity,"6,20,00,000",
16-08-2016,Hike,Consumer Internet,Mobile Messaging App,Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"17,50,00,000",
16-08-2016,Joolz,eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"5,00,000",
16-08-2016,Salebhai,eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,"15,00,000",
16-08-2016,Makkajai,Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"2,50,000",
16-08-2016,Gradopedia,Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,,
17-08-2016,Maalgaadi,Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal ",Seed Funding,"3,75,000",
17-08-2016,Zipi,Technology,Mobile Chatbot App,Bengaluru,Swan Angel Network,Seed Funding,,
17-08-2016,Appknox,Technology,Mobile security solutions,Bengaluru,"SeedPlus, Infocomm Investments, Accels RNT Associates",Private Equity,"6,75,000",
17-08-2016,Pikkol,Logistics,Packers & Movers,Bengaluru,Indian Angel Network,Seed Funding,,
18-08-2016,Meesho,eCommerce,Mobile based eCommerce SAAS platform,Bengaluru,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,,
18-08-2016,Sesame software,Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,,
19-08-2016,Quikr,Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"2,00,00,000",
19-08-2016,Digio,Technology,Aadhar based Document Signing platform,Bengaluru,Rainmatter,Private Equity,"3,75,000",
19-08-2016,Ziffity,Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,,
22-08-2016,Zzungry,Consumer Internet,Food Delivery platform,Bengaluru,"Satish Vasudeva, Madhusudhan Jujare ",Seed Funding,,
22-08-2016,Puro wellness,healthcare,"Organic, Natural Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,"3,70,00,000",
22-08-2016,Fitternity,Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners ",Private Equity,,
23-08-2016,Tac security,Technology,Cyber-Security Solutions Provider,Delhi,Vijay Kedia,Seed Funding,,
23-08-2016,Notesgen,Consumer Internet,Online Notes Sharing Portal,Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"1,00,000",
23-08-2016,Nearu,Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,,
23-08-2016,Octo.ai,Technology,Artificial Intelligence based marketing platform,Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"2,00,000",
24-08-2016,Shaadisaga,Consumer Internet,Wedding Website Creator,Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,,
24-08-2016,Unaacademy,Consumer Internet,Free Interactive education platform,Bengaluru,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal, Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"10,00,000",
24-08-2016,Advenio,Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"1,00,000",
24-08-2016,Guarented,eCommerce,Home Furnishing rental marketplace,Bengaluru,Kalaari Capital,Seed Funding,"5,00,000",
24-08-2016,Beyond evolution,Technology,Mobile Apps & Tech Services provider,Gurugram,"Vineet Taneja, Kamal Puri",Seed Funding,,
24-08-2016,Uber dreams,eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"5,00,000",
24-08-2016,Convegenius,Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,"9,00,000",
24-08-2016,Urbanladder,eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,"30,00,000",
24-08-2016,Encashea,Consumer Internet,Scrap Collection and Recycling platform,Bengaluru,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,,
25-08-2016,Engineerbabu,Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,,
25-08-2016,Cult,Healthcare,Health and Fitness Centres,Bengaluru,CureFit,Private Equity,"30,00,000",
25-08-2016,Witworks,Technology,Consumer IoT Startup,Bengaluru,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,,
25-08-2016,Nearfox,Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain, Arpan Nagdeve",Seed Funding,,
25-08-2016,Zoomcar,Consumer Internet,Self-driven car booking platform,Bengaluru,Ford Smart Mobility Llc,Private Equity,"2,40,00,000",
26-08-2016,Plix,Consumer Internet,Photo and Video Sharing App,Gurugram,Instalabs,Seed Funding,"5,00,000",
26-08-2016,Mobikwik,Consumer Internet,Digital Wallet platform,Gurugram,Net1 UEPS Technologies Inc,Private Equity,"4,00,00,000",
26-08-2016,Mydidi,Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"5,50,000",
26-08-2016,Crownit,Consumer Internet,Cashback Mobile app,Gurugram,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,,
29-08-2016,Loantap,Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"30,00,000",
29-08-2016,Runnr,Consumer Internet,hyperlocal Logistics services provider,Bengaluru,"Nexus Venture Partners, Blume Ventures",Private Equity,"70,00,000",
29-08-2016,Zolo,Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,,
29-08-2016,Notion press,Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,"10,00,000",
29-08-2016,Livspace,Consumer Internet,Online portal for Home Design,Bengaluru,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"1,50,00,000",
30-08-2016,Iaugmentor labs,Technology,Assessment & Learning Platform,Gurugram,Rajasthan Angel Investor Network ,Seed Funding,"1,49,000",
30-08-2016,Daybox,Consumer Internet,Fruit & Vegetable Delivery platform,Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta ",Seed Funding,"1,04,000",
30-08-2016,Paytm,eCommerce,Mobile Wallet & ECommerce platform,Bengaluru,MediaTek Inc.,Private Equity,"6,00,00,000",
30-08-2016,Cropin,Technology,Agriculture Technology Solutions,Bengaluru,Sophia Investment ApS,Private Equity,"20,00,000",
30-08-2016,Canvera,Consumer Internet,Photographer Discovery & Information platform,Bengaluru,Info Edge (India) Ltd,Private Equity,"30,00,000",
30-08-2016,Prime focus technologies,Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,,
31-08-2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"53,00,000",
31-08-2016,Inclov,Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,,
01-07-2016,Razorpay,Consumer Internet,Online Payment Gateway,Bengaluru,MasterCard,Private Equity,,
01-07-2016,Darwinbox,Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,,
01-07-2016,Venture catalysts,Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000",
01-07-2016,Pressplay tv,Consumer Internet,Video Content Discovery Platform,Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,,
02-07-2016,Playment,Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bengaluru,SAIF Partners,Private Equity,"7,00,000",
04-07-2016,Wealthtrust,Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,,
04-07-2016,Curefit,Consumer Internet,Online Preventive Healthcare Platform,Bengaluru,"Accels, IDG Ventures, Kalaari Capital",Private Equity,"1,50,00,000",
04-07-2016,Stitchwood,eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"2,00,000",
04-07-2016,Grab.in,Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"20,00,000",
04-07-2016,Fulfil.io,Consumer Internet,Cloud Based ERP Software,USA,Rajan Anandan,Seed Funding,,
04-07-2016,Neogrowth,Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"1,60,00,000",
05-07-2016,Seedoc,Consumer Internet,Video Based Doctor Consulting platform App,Gurugram,YourNest Angel Fund ,Private Equity,"10,00,000",
05-07-2016,Bookmyshow,Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accels, SAIF Partners",Private Equity,"8,20,00,000",
05-07-2016,Flyrobe,eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath, Abhishek Jain",Seed Funding,"17,00,000",
06-07-2016,Happilyunmarried,eCommerce,Online Merchandize etailer,Delhi,Info Edge (India) Ltd,Private Equity,"7,40,000",
06-07-2016,Dont scratch your head,Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000",
